N,P,K,temperature,humidity,ph,rainfall,crop_yield,label
93.93,28.37,23.99,28.2,65.05,6.64,202.6,1.5,coffee
35.87,65.43,77.35,16.51,16.47,6.74,77.63,1.71,chickpea
18.17,24.29,39.52,26.99,100.0,6.35,164.73,34.91,coconut
105.16,22.55,25.24,26.79,62.19,7.02,145.14,1.77,coffee
49.6,68.12,63.26,15.77,16.44,7.29,84.15,2.17,chickpea
22.07,127.21,205.83,22.46,76.56,6.94,62.69,6.46,grapes
15.82,137.5,188.0,22.96,81.82,5.94,54.65,11.29,grapes
84.22,45.04,21.89,20.91,70.63,6.18,43.4,6.76,maize
15.76,31.09,34.61,33.55,43.42,6.06,111.46,6.55,mango
19.0,73.47,17.68,22.45,61.99,6.9,35.41,1.2,lentil
28.29,11.5,26.89,23.17,100.0,5.83,165.04,54.48,coconut
37.77,64.76,85.32,18.68,18.71,7.49,80.03,1.62,chickpea
113.28,24.81,22.91,26.39,59.82,6.5,126.68,1.44,coffee
18.85,129.13,219.7,23.12,96.13,6.27,123.52,11.86,apple
19.54,60.52,26.1,24.59,68.65,7.32,46.22,1.36,lentil
17.79,52.27,25.13,29.2,61.09,6.92,39.83,1.17,mothbeans
20.78,15.34,26.42,28.07,86.26,6.13,190.7,60.85,coconut
33.4,62.13,74.77,15.89,20.67,7.12,90.29,1.63,chickpea
19.73,62.59,20.84,28.89,51.5,5.44,163.85,1.01,pigeonpeas
21.83,148.61,189.84,22.21,95.74,5.5,174.93,10.06,apple
51.76,62.02,9.8,31.66,62.48,6.92,42.52,0.96,blackgram
13.18,59.91,4.75,25.09,75.27,6.94,31.84,1.17,lentil
20.58,26.85,31.61,31.35,51.9,6.11,96.17,5.03,mango
48.52,64.94,25.34,29.98,58.88,7.53,92.27,0.83,blackgram
22.6,44.38,12.87,28.79,90.15,6.51,51.91,0.73,mungbean
17.74,18.37,37.25,19.98,91.44,6.68,98.03,6.7,pomegranate
99.24,17.32,70.2,28.74,81.82,6.14,9.54,14.01,muskmelon
13.37,10.08,39.81,22.64,95.53,6.52,90.73,5.1,pomegranate
77.2,16.77,36.56,24.58,84.06,6.88,53.71,25.09,watermelon
35.77,59.08,59.15,36.11,96.26,6.6,178.78,23.65,papaya
94.0,19.13,41.76,31.89,89.68,6.44,42.27,24.43,watermelon
80.5,42.72,50.22,22.59,75.38,6.59,106.04,3.3,wheat
61.69,66.49,14.61,26.19,63.9,7.06,70.54,0.66,blackgram
22.61,20.61,5.58,22.7,86.12,7.19,97.55,10.85,orange
18.32,16.85,40.92,19.02,90.53,6.45,79.94,9.49,pomegranate
42.36,54.87,90.82,15.66,17.65,6.87,76.17,1.55,chickpea
6.62,15.53,29.96,22.03,100.0,5.99,154.77,69.65,coconut
17.86,44.78,14.82,27.59,52.82,7.0,62.9,0.75,mothbeans
21.66,13.8,36.91,29.38,99.91,5.75,151.94,55.82,coconut
23.31,19.51,35.97,34.9,40.01,5.99,104.92,7.27,mango
29.46,59.78,33.12,23.29,62.04,7.0,40.18,1.38,lentil
41.32,61.92,41.16,34.61,86.03,6.6,109.21,31.3,papaya
81.06,56.5,45.47,18.57,73.17,6.46,84.54,2.82,wheat
50.65,58.98,44.02,32.78,90.6,6.73,126.29,14.89,papaya
15.05,14.34,10.34,22.09,98.4,7.46,92.88,14.33,orange
14.66,141.91,186.83,21.03,81.43,6.23,72.46,10.14,grapes
109.94,52.07,19.01,24.7,79.04,7.09,41.49,1.37,cotton
98.92,20.9,54.68,27.11,87.39,6.49,35.7,17.9,watermelon
29.71,162.43,194.82,22.71,92.49,5.82,96.36,7.83,apple
47.67,58.23,43.08,32.95,89.08,6.59,136.91,19.09,papaya
13.66,45.65,20.34,24.51,87.66,6.39,66.11,0.9,mungbean
91.64,73.23,72.15,26.5,70.37,6.35,117.22,26.17,banana
15.86,30.43,26.8,30.53,53.43,6.01,83.61,7.21,mango
39.53,73.61,13.67,28.9,74.56,7.45,89.24,0.7,blackgram
77.8,47.86,53.82,21.96,77.96,6.35,227.46,4.76,rice
102.67,16.87,62.08,21.07,87.55,6.72,61.47,24.68,watermelon
36.85,72.22,54.2,37.08,96.37,6.7,112.9,17.75,papaya
22.51,39.87,12.87,28.14,90.31,6.19,57.2,0.96,mungbean
17.33,45.87,27.99,29.47,53.04,6.73,52.77,0.8,mothbeans
111.4,26.29,31.33,27.84,59.1,6.77,162.85,1.52,coffee
73.99,52.18,37.62,26.72,58.87,6.36,83.37,3.72,wheat
31.99,59.62,14.23,30.04,62.47,7.05,82.41,0.59,blackgram
48.77,61.99,68.45,17.59,14.6,7.18,103.56,1.66,chickpea
103.77,65.63,26.28,28.33,79.31,7.07,73.11,2.06,cotton
25.84,14.04,11.73,21.3,100.0,7.22,134.91,12.25,orange
103.62,20.55,24.92,23.3,56.89,6.56,198.03,2.04,coffee
80.6,64.71,40.46,23.6,81.83,6.15,234.28,5.1,rice
27.6,16.41,10.43,22.04,100.0,6.89,109.41,18.39,orange
83.13,45.92,23.69,22.85,60.32,6.53,61.96,6.31,maize
16.6,120.76,187.56,24.18,80.09,6.04,89.05,15.24,grapes
30.31,52.48,46.79,35.58,96.38,6.44,169.95,18.39,papaya
107.81,82.42,58.36,26.6,81.91,5.89,103.08,31.29,banana
24.62,14.85,22.82,28.1,87.97,5.55,205.82,43.04,coconut
53.46,72.95,42.03,36.67,92.22,6.3,116.71,20.06,papaya
34.51,76.31,24.34,26.43,59.56,7.87,95.26,0.7,blackgram
16.32,80.25,18.78,27.0,54.35,6.08,146.78,1.08,pigeonpeas
19.88,76.62,14.52,20.65,50.4,5.79,115.19,0.91,pigeonpeas
69.79,41.02,24.03,24.65,68.68,6.72,81.0,3.46,wheat
97.96,72.88,23.03,20.45,67.67,6.47,65.19,7.3,maize
17.48,62.93,21.43,22.3,66.53,6.68,37.02,1.17,lentil
16.47,147.07,173.52,23.57,85.67,6.47,82.11,12.3,apple
59.27,59.38,35.47,27.9,95.68,6.53,155.92,20.46,papaya
104.6,80.88,52.05,26.54,83.34,5.44,97.73,31.48,banana
21.62,62.74,24.2,24.28,44.5,5.41,170.6,1.48,pigeonpeas
72.34,34.55,43.32,24.5,55.03,6.91,98.42,2.6,wheat
22.14,67.62,17.03,19.67,20.24,5.06,111.87,1.21,kidneybeans
19.86,71.87,21.86,24.79,69.66,7.02,42.87,1.14,lentil
18.09,66.01,18.01,17.63,18.8,5.78,104.33,1.55,kidneybeans
17.11,136.33,216.66,24.51,87.42,6.04,63.0,10.16,grapes
15.5,57.94,21.75,25.31,49.51,5.56,113.38,0.53,pigeonpeas
25.08,21.14,35.14,29.06,51.81,6.05,98.64,7.57,mango
36.13,62.1,82.93,17.28,16.58,7.42,56.36,2.2,chickpea
21.78,77.09,16.66,25.53,54.48,5.83,118.1,1.04,pigeonpeas
75.26,47.37,37.03,24.99,77.75,6.41,186.84,2.2,jute
8.13,119.34,188.78,23.58,83.45,6.05,79.53,9.43,grapes
121.01,39.63,14.6,23.73,83.01,7.09,67.08,2.0,cotton
37.58,77.77,18.03,31.94,64.89,7.31,91.13,0.67,blackgram
81.5,27.98,36.42,30.78,61.52,6.69,132.77,2.17,coffee
12.83,18.34,34.6,18.65,87.88,6.25,99.24,8.7,pomegranate
97.18,44.97,32.21,24.46,95.48,6.23,163.24,1.79,jute
16.97,48.51,16.72,27.48,45.45,6.73,50.06,1.01,mothbeans
17.67,21.18,30.9,30.7,96.02,5.18,202.4,39.9,coconut
81.89,37.18,45.18,24.1,63.51,7.21,77.75,3.26,wheat
25.32,18.39,24.75,26.11,94.78,5.65,210.27,30.98,coconut
108.16,21.71,39.82,29.43,82.26,6.27,33.9,13.35,muskmelon
22.0,68.05,19.61,17.61,24.35,6.24,79.76,1.19,kidneybeans
12.05,41.68,15.49,29.62,86.58,6.31,57.8,0.51,mungbean
29.32,49.44,22.94,30.83,55.24,6.65,47.51,0.95,mothbeans
67.71,37.18,12.39,24.34,61.85,6.66,61.96,3.79,maize
24.5,70.61,25.92,17.64,25.0,6.16,116.03,2.03,kidneybeans
64.43,49.85,31.76,26.51,71.59,7.01,206.33,4.42,rice
17.9,16.36,9.89,20.32,100.0,6.55,124.37,13.7,orange
104.61,34.98,33.09,25.98,48.17,6.93,201.07,0.6,coffee
84.77,58.04,36.62,23.19,67.47,6.88,71.75,2.86,wheat
20.94,133.46,171.62,22.88,83.14,6.07,61.55,9.63,grapes
19.49,141.76,176.36,23.79,83.81,6.45,72.71,8.64,grapes
28.12,8.2,10.28,21.2,77.44,6.57,125.5,20.06,orange
17.08,14.58,29.33,26.98,89.58,5.83,132.06,58.11,coconut
129.19,63.77,19.33,25.57,76.05,6.91,77.35,2.04,cotton
21.49,48.12,18.58,27.79,100.0,6.62,54.1,0.67,mungbean
75.12,57.06,35.42,28.09,87.07,6.68,160.79,2.36,jute
78.21,49.85,13.7,19.15,63.12,6.1,89.22,6.06,maize
92.89,13.67,46.07,31.35,83.0,6.77,46.24,26.31,watermelon
16.41,23.33,11.03,20.76,89.06,6.85,137.45,10.19,orange
17.85,53.1,19.09,26.42,62.0,7.02,54.52,1.12,lentil
23.07,19.96,32.96,28.25,96.68,5.57,185.19,41.75,coconut
13.41,18.44,11.13,25.51,98.71,6.93,119.46,13.05,orange
18.64,122.8,177.84,21.98,87.51,6.15,62.05,14.01,grapes
24.74,60.12,75.69,21.78,18.67,6.8,92.29,1.34,chickpea
43.71,56.06,85.79,15.53,18.66,7.39,74.55,1.97,chickpea
96.32,15.37,45.11,29.58,88.77,6.55,25.15,13.44,muskmelon
95.58,41.44,31.18,28.1,71.06,6.4,168.83,1.72,jute
90.12,80.82,48.41,27.37,81.66,6.07,109.75,23.95,banana
14.9,77.94,28.83,23.92,71.25,6.58,56.75,1.51,lentil
19.68,41.72,24.92,28.25,83.62,6.31,40.06,0.47,mungbean
113.66,21.37,54.18,26.1,80.59,6.32,65.48,21.86,watermelon
43.28,60.11,90.23,19.4,15.67,7.06,89.45,1.94,chickpea
19.91,13.42,31.03,27.18,94.32,6.06,145.69,59.11,coconut
104.7,23.98,25.7,24.53,53.98,7.04,124.3,1.53,coffee
82.96,47.09,42.04,22.53,74.92,6.37,189.72,3.86,rice
49.5,59.28,16.93,27.55,66.57,6.99,79.95,0.56,blackgram
65.57,39.92,39.79,27.14,58.14,6.32,102.07,3.1,wheat
78.01,52.81,12.78,14.11,62.25,5.83,62.38,5.35,maize
107.52,17.08,50.0,26.89,93.35,6.63,19.37,10.4,muskmelon
65.36,60.8,34.13,31.44,92.48,7.25,170.72,16.31,papaya
12.92,76.24,30.84,23.24,58.55,6.78,46.14,1.41,lentil
80.65,43.34,7.81,20.6,72.11,6.48,84.48,6.74,maize
37.88,69.93,9.29,24.23,66.73,7.25,99.96,0.72,blackgram
81.08,38.68,45.29,18.84,61.88,7.37,77.14,3.31,wheat
54.97,70.12,72.05,19.07,9.09,7.2,89.92,2.08,chickpea
19.5,11.29,27.91,29.74,94.35,6.48,194.45,48.55,coconut
92.3,14.48,68.19,29.88,84.25,6.75,34.55,14.16,muskmelon
97.15,28.84,30.43,25.64,52.13,6.3,143.28,1.62,coffee
17.1,57.75,24.25,27.84,49.54,5.82,155.46,1.59,pigeonpeas
78.7,50.97,42.05,23.09,77.02,6.78,83.02,3.73,wheat
68.33,48.17,49.45,19.55,66.84,6.68,80.43,3.84,wheat
22.46,66.54,25.38,27.42,50.05,5.37,153.68,1.51,pigeonpeas
76.4,53.37,21.07,18.74,63.4,5.96,86.14,5.52,maize
19.31,51.73,19.47,31.88,77.26,6.73,32.74,0.3,mungbean
89.29,23.94,25.11,26.05,82.64,6.51,178.7,1.23,jute
25.8,19.03,23.55,28.33,95.88,6.08,188.32,59.53,coconut
24.99,71.96,73.92,15.62,15.13,7.14,75.93,1.14,chickpea
19.13,123.15,196.7,22.83,94.62,6.55,122.29,12.3,apple
96.84,21.55,47.17,27.45,91.49,6.48,52.14,24.52,watermelon
24.28,50.18,21.97,27.15,88.25,6.62,54.56,0.42,mungbean
53.2,61.97,18.84,29.07,53.91,6.75,52.55,0.82,blackgram
63.98,50.75,34.01,22.91,68.83,7.17,78.5,3.1,wheat
19.06,76.54,25.11,28.84,46.7,5.38,136.73,1.26,pigeonpeas
22.71,62.33,13.57,24.06,61.8,7.35,38.65,1.02,lentil
16.61,64.45,16.09,26.48,56.99,5.94,166.24,0.78,pigeonpeas
19.26,13.91,7.2,24.39,99.32,7.36,119.85,14.87,orange
110.18,15.15,58.6,30.22,97.41,6.1,23.65,15.72,muskmelon
22.37,30.4,19.54,28.03,56.97,7.09,46.96,0.87,mothbeans
74.56,45.89,32.79,23.75,79.0,6.41,181.95,5.98,rice
96.57,27.32,54.35,23.38,81.55,6.48,52.54,18.43,watermelon
17.71,65.73,18.15,17.3,17.86,5.86,109.83,1.55,kidneybeans
87.38,46.37,41.07,22.4,74.61,6.28,186.18,5.35,rice
13.98,13.67,30.25,25.53,98.3,5.7,181.41,56.17,coconut
17.68,15.28,4.76,21.64,95.44,7.1,140.41,13.21,orange
8.14,83.34,21.48,25.45,49.79,5.75,135.66,1.26,pigeonpeas
79.69,51.54,14.55,25.23,64.51,6.21,80.62,5.73,maize
12.51,16.78,45.24,19.32,87.0,6.58,110.06,8.88,pomegranate
11.69,71.03,9.68,26.37,53.71,5.76,187.97,1.51,pigeonpeas
80.54,51.74,25.43,21.29,66.54,6.08,74.04,5.16,maize
40.34,72.49,8.67,33.24,63.58,6.49,71.37,0.71,blackgram
95.6,24.81,40.2,27.27,84.91,6.46,48.91,24.42,watermelon
111.44,82.85,43.25,28.4,80.99,5.14,113.57,31.96,banana
91.61,14.28,55.46,30.08,94.76,6.87,38.08,16.32,muskmelon
120.35,15.65,47.53,26.31,81.78,6.28,44.76,18.17,watermelon
46.49,69.66,33.68,26.94,56.45,6.98,45.48,0.48,blackgram
52.44,52.57,40.27,30.5,94.71,7.08,157.07,22.53,papaya
117.78,45.88,24.34,25.92,86.92,6.37,93.58,1.98,cotton
74.87,47.99,13.75,22.81,69.41,6.06,62.95,5.77,maize
17.97,54.28,27.87,28.91,45.52,6.52,65.23,0.87,mothbeans
59.41,54.76,44.48,27.61,94.86,6.21,126.24,22.35,papaya
99.89,20.74,55.6,28.25,86.55,5.87,25.85,13.37,muskmelon
44.39,64.96,78.0,18.66,17.26,6.53,81.55,1.54,chickpea
31.39,131.27,197.27,21.12,72.53,6.05,74.88,14.75,grapes
107.57,19.76,48.4,29.37,80.63,6.33,31.89,12.5,muskmelon
20.1,46.12,26.46,26.5,59.58,6.86,50.4,1.4,mothbeans
22.15,12.9,40.71,29.88,90.29,5.86,182.11,63.63,coconut
19.63,66.39,29.86,17.23,21.52,6.15,139.07,1.38,kidneybeans
18.82,63.74,17.33,27.59,41.51,6.08,135.69,1.42,pigeonpeas
89.39,33.39,27.7,28.37,50.39,7.33,148.96,1.39,coffee
27.89,47.93,21.95,23.56,47.01,7.07,54.87,0.87,mothbeans
95.44,19.01,47.37,29.44,92.85,6.44,18.93,12.54,muskmelon
21.59,125.69,187.03,24.39,80.98,5.98,57.8,10.08,grapes
56.48,42.25,18.94,18.04,64.34,6.22,66.63,4.85,maize
122.33,22.18,50.1,28.73,76.82,7.26,44.1,24.4,watermelon
89.93,83.35,32.71,27.97,83.3,6.12,97.1,31.55,banana
127.49,36.31,22.38,21.84,83.12,6.91,100.0,2.14,cotton
85.75,25.42,33.51,25.4,85.08,6.39,38.96,20.21,watermelon
82.6,37.77,47.11,19.68,81.67,6.14,180.44,4.54,rice
82.14,35.03,43.39,23.77,77.58,6.55,201.75,3.59,rice
20.23,25.79,24.0,32.34,52.72,5.87,92.19,6.1,mango
63.61,36.42,52.49,25.03,61.56,7.48,94.73,3.04,wheat
27.55,71.84,22.54,26.14,41.58,5.64,173.13,0.74,pigeonpeas
43.22,77.57,19.54,27.19,69.79,7.3,53.61,0.76,blackgram
86.19,14.0,55.31,32.2,87.39,6.22,46.33,25.16,watermelon
87.22,35.97,37.8,23.98,75.89,6.71,192.79,4.2,rice
22.52,24.29,20.12,29.51,48.48,6.11,107.37,8.88,mango
110.64,29.01,20.53,24.3,81.59,6.7,68.31,1.92,cotton
86.5,39.07,40.08,23.96,86.1,6.5,166.2,2.97,jute
12.56,7.62,9.61,21.14,88.62,7.4,92.81,18.25,orange
6.72,14.84,34.6,24.88,97.58,6.25,93.3,53.49,coconut
14.51,55.18,16.3,22.38,22.85,5.77,82.01,1.44,kidneybeans
98.93,44.39,11.71,23.68,79.17,7.24,57.39,2.07,cotton
74.11,61.97,33.31,25.42,80.58,7.0,202.58,2.48,jute
14.3,22.8,15.41,21.53,90.15,7.18,121.02,13.39,orange
102.76,32.38,28.54,22.89,57.46,6.98,147.82,1.68,coffee
107.89,27.2,24.75,26.6,66.55,7.03,148.72,1.22,coffee
23.33,80.8,76.7,18.57,16.86,7.07,76.45,1.9,chickpea
15.01,51.15,24.32,28.34,91.76,6.33,53.68,0.57,mungbean
119.18,17.18,54.62,24.1,80.88,6.14,62.74,12.24,watermelon
13.69,19.37,43.11,22.28,86.06,6.11,99.87,8.36,pomegranate
18.85,17.96,39.13,23.68,86.47,6.0,110.4,7.4,pomegranate
93.01,17.24,61.36,28.54,83.97,6.45,15.7,19.22,muskmelon
18.84,132.95,197.31,24.56,74.11,5.84,45.43,11.35,grapes
10.86,22.47,8.97,20.45,95.7,7.45,132.35,15.51,orange
16.88,107.22,184.42,25.23,79.99,6.05,79.83,16.51,grapes
22.12,37.41,25.42,28.42,53.99,6.8,46.82,0.94,mothbeans
34.15,73.06,84.48,21.7,16.47,7.4,86.47,2.19,chickpea
16.41,30.98,33.27,31.87,56.58,6.04,91.26,6.61,mango
81.09,50.81,45.85,23.45,78.05,6.64,256.46,5.58,rice
72.27,43.11,38.12,23.16,93.57,5.94,220.59,3.21,rice
35.72,59.71,69.49,28.99,91.57,7.28,172.6,17.95,papaya
21.22,58.28,15.07,25.06,49.55,5.51,158.88,0.34,pigeonpeas
21.48,45.09,17.95,31.64,91.89,6.74,25.96,0.73,mungbean
83.84,44.74,25.46,22.82,75.48,6.7,211.0,3.75,rice
23.0,48.61,14.85,28.09,47.63,6.82,47.19,1.41,mothbeans
44.41,69.72,82.13,15.35,20.14,7.55,81.56,1.79,chickpea
11.15,49.93,18.08,28.4,85.91,6.41,48.55,0.55,mungbean
115.59,16.8,40.03,25.72,93.74,6.18,24.23,19.84,muskmelon
20.43,51.53,16.71,27.9,56.56,7.73,60.08,0.73,mothbeans
71.61,42.53,44.65,24.95,79.6,6.44,166.81,3.54,rice
28.43,23.77,27.61,32.55,58.11,6.04,68.35,7.26,mango
35.6,71.08,14.93,32.0,71.76,6.96,59.57,0.31,blackgram
24.3,16.62,35.81,22.79,94.63,6.45,123.53,7.94,pomegranate
46.05,71.9,70.87,17.51,16.88,7.16,90.01,2.23,chickpea
88.72,46.47,59.52,21.38,77.8,6.32,136.28,4.08,rice
19.82,11.14,23.26,30.09,94.86,5.94,133.59,58.59,coconut
63.62,42.75,36.64,20.33,61.81,7.16,101.31,2.91,wheat
36.7,59.59,78.75,16.3,18.72,6.66,79.61,1.89,chickpea
24.06,22.59,34.44,18.66,96.37,6.06,120.19,7.08,pomegranate
76.93,51.58,12.15,17.62,59.03,6.24,95.99,7.73,maize
82.1,46.07,23.36,26.7,64.34,5.91,86.61,5.38,maize
109.95,86.6,47.64,26.07,81.56,6.07,132.96,35.96,banana
31.59,121.75,214.37,20.01,88.91,6.14,133.55,7.46,apple
87.64,17.93,44.75,29.22,93.02,6.7,34.49,32.53,watermelon
20.16,47.61,17.84,30.55,80.15,6.48,76.8,0.59,mungbean
18.21,21.12,38.12,24.14,86.06,6.6,138.68,5.93,pomegranate
74.6,47.46,48.52,24.91,75.57,6.21,187.83,2.62,jute
123.26,18.47,57.82,27.36,84.75,6.42,47.9,28.04,watermelon
93.11,48.12,30.61,27.03,86.16,6.73,225.87,2.91,jute
45.04,60.57,86.16,16.74,17.76,7.45,84.5,1.94,chickpea
17.61,69.88,31.75,25.57,46.92,5.68,156.92,1.28,pigeonpeas
91.92,46.0,21.44,21.78,64.33,6.44,81.9,3.75,maize
23.59,42.77,15.65,27.98,53.69,7.68,50.16,0.67,mothbeans
69.55,47.21,40.3,26.27,81.29,6.31,211.18,3.14,jute
19.7,70.95,21.45,23.01,43.39,5.98,146.36,1.04,pigeonpeas
8.85,16.94,30.13,27.38,96.52,6.02,173.24,55.49,coconut
20.69,48.93,20.42,29.6,57.62,6.48,60.69,0.66,mothbeans
97.63,16.46,42.64,30.11,86.69,6.26,27.35,19.06,muskmelon
95.85,23.12,44.86,22.95,87.01,6.57,50.34,21.79,watermelon
25.74,18.54,39.52,20.6,87.82,6.71,88.63,8.52,pomegranate
18.82,125.25,218.17,21.25,88.38,6.11,85.39,11.25,apple
78.72,37.36,29.15,23.41,78.22,6.07,180.6,3.63,rice
21.33,150.78,234.98,23.06,87.04,5.74,118.64,10.91,apple
82.56,52.86,55.32,25.03,72.8,6.12,181.26,4.52,rice
23.38,33.02,17.31,27.49,54.28,7.16,44.28,0.8,mothbeans
85.07,48.0,38.68,25.04,82.47,6.69,128.15,3.6,jute
126.56,42.2,14.93,22.78,71.77,6.91,68.41,2.04,cotton
79.06,52.68,29.88,16.31,73.09,6.23,56.52,4.17,maize
18.33,13.22,6.52,21.44,87.68,7.0,110.54,12.14,orange
23.3,62.32,78.75,16.18,14.19,7.0,89.38,1.74,chickpea
92.7,12.07,53.43,24.09,88.02,6.69,33.39,32.75,watermelon
24.31,141.33,194.57,23.36,65.12,5.97,81.46,11.02,grapes
113.45,14.59,55.67,28.32,83.82,6.02,23.8,18.34,muskmelon
46.98,69.59,23.12,28.67,71.01,7.1,69.87,0.66,blackgram
21.57,28.07,35.62,33.03,50.96,6.66,103.41,8.07,mango
13.08,7.63,14.52,23.02,95.03,6.68,124.75,14.83,orange
95.27,42.75,37.57,25.13,68.41,7.35,88.76,3.02,wheat
71.75,42.43,45.3,21.87,77.89,6.57,207.35,4.09,rice
83.99,54.4,41.42,20.06,68.49,6.92,93.43,3.52,wheat
71.56,56.24,18.33,19.79,60.22,6.33,100.94,4.43,maize
95.51,45.93,51.43,23.14,92.3,7.03,192.53,5.28,rice
21.54,60.4,21.38,29.39,46.02,6.33,138.49,1.21,pigeonpeas
55.28,38.62,46.62,22.59,83.86,6.32,202.6,4.38,rice
99.07,12.67,34.6,28.45,87.9,6.64,63.03,21.67,watermelon
118.2,51.92,17.99,22.13,77.51,7.32,105.28,1.19,cotton
16.78,122.33,203.22,21.64,100.0,5.91,149.29,7.66,apple
104.25,7.45,43.33,25.62,85.59,6.26,49.62,23.95,watermelon
64.19,51.71,52.69,23.18,59.02,6.93,97.95,2.9,wheat
70.79,31.01,47.41,23.04,69.99,5.93,111.33,3.13,wheat
39.34,74.93,22.74,29.6,67.25,7.07,95.63,0.48,blackgram
15.9,43.59,18.71,27.62,91.59,7.08,47.28,1.02,mungbean
69.74,56.38,44.81,20.89,68.86,5.95,97.23,2.33,wheat
76.64,58.35,39.92,19.99,80.77,6.42,119.09,4.46,rice
20.26,20.07,29.96,28.53,91.83,5.96,155.9,67.17,coconut
24.94,16.16,21.46,29.26,83.99,5.77,206.19,51.43,coconut
28.5,63.79,23.41,24.69,52.77,5.76,158.46,1.01,pigeonpeas
15.98,11.92,44.63,20.23,90.91,6.09,118.72,6.86,pomegranate
97.11,21.69,35.03,25.27,58.7,6.61,142.58,1.75,coffee
16.16,58.86,23.3,25.62,59.22,7.12,61.27,1.68,lentil
70.57,51.24,40.51,23.46,65.32,6.21,65.91,3.13,wheat
87.53,52.1,23.63,22.55,61.79,6.33,82.01,6.25,maize
21.19,116.73,196.71,23.47,80.06,5.6,57.24,15.64,grapes
21.12,74.23,18.51,22.62,20.96,5.76,85.95,1.59,kidneybeans
95.69,18.12,36.32,29.07,88.16,6.13,27.31,20.11,watermelon
39.91,75.25,24.47,27.39,62.37,6.7,75.14,0.8,blackgram
22.75,146.72,202.67,21.41,78.44,6.28,89.48,12.7,grapes
96.46,20.35,48.74,27.88,94.43,6.93,32.11,14.73,muskmelon
72.73,43.02,41.4,24.24,82.89,6.1,211.41,4.99,rice
128.16,34.26,19.04,27.22,77.8,7.18,87.4,2.09,cotton
24.8,65.97,12.08,30.8,68.92,6.83,57.51,0.63,blackgram
12.14,55.65,20.19,30.18,85.65,5.94,47.48,1.01,mungbean
42.17,68.11,52.48,31.31,87.71,6.55,133.89,16.62,papaya
98.29,31.12,28.39,26.8,59.92,6.54,125.02,1.45,coffee
72.67,54.12,41.58,25.2,62.41,7.22,114.48,3.02,wheat
20.26,58.52,16.41,17.43,22.93,5.07,122.3,1.92,kidneybeans
84.79,47.67,50.3,21.98,80.65,6.21,186.67,4.8,rice
25.73,44.3,19.92,26.79,46.73,6.22,131.25,1.43,pigeonpeas
91.64,9.53,62.72,26.56,93.21,6.48,37.1,14.54,muskmelon
46.75,56.93,59.58,35.09,93.32,6.7,118.53,11.28,papaya
14.47,33.67,27.26,27.25,47.85,6.13,100.37,6.8,mango
16.19,58.86,14.89,21.42,60.5,7.33,36.85,1.33,lentil
28.67,125.28,196.95,25.24,88.92,5.9,72.73,12.74,grapes
85.9,43.6,38.53,23.33,84.41,6.87,162.14,1.98,jute
82.71,51.88,51.13,25.47,80.32,6.43,185.9,2.83,jute
102.75,47.07,20.68,24.73,86.39,6.38,92.9,1.47,cotton
14.28,47.7,21.17,26.56,83.06,6.77,37.67,0.87,mungbean
17.15,71.34,17.31,24.0,63.63,6.76,39.11,1.39,lentil
34.16,69.89,68.65,19.14,18.35,6.64,67.57,1.72,chickpea
87.65,60.92,13.83,19.22,64.87,6.28,57.86,5.92,maize
20.03,25.85,28.47,28.17,84.35,6.03,204.55,49.72,coconut
79.02,60.39,13.8,16.6,65.82,6.22,72.6,5.74,maize
21.34,116.71,204.66,20.77,78.03,5.74,63.09,11.93,grapes
62.08,49.62,27.0,24.07,78.18,6.47,166.28,3.02,jute
59.79,52.67,42.71,20.31,58.6,7.06,89.75,3.15,wheat
24.08,66.62,19.08,19.29,23.54,5.51,105.68,1.52,kidneybeans
25.21,47.19,26.76,24.97,46.35,6.15,45.01,0.93,mothbeans
89.89,53.67,21.76,24.21,64.87,5.94,67.55,4.76,maize
47.21,58.44,50.29,33.41,79.92,6.7,89.26,22.93,papaya
95.75,30.21,22.73,23.67,61.79,6.27,180.58,0.9,coffee
70.24,53.43,34.4,28.26,84.47,6.56,174.25,5.06,rice
88.18,17.88,36.07,27.2,94.11,6.05,29.69,14.19,muskmelon
77.47,35.02,55.06,20.14,79.8,6.54,243.24,3.35,rice
50.01,63.05,46.79,36.9,90.0,6.11,135.22,16.13,papaya
84.83,39.57,43.39,25.43,82.6,6.49,178.2,2.09,jute
20.36,56.65,16.52,18.16,23.72,5.58,121.03,1.68,kidneybeans
89.74,15.95,45.21,29.47,85.48,7.02,54.14,26.21,watermelon
20.68,46.58,19.28,28.09,91.11,6.64,43.26,0.74,mungbean
57.18,56.83,23.39,24.47,74.11,6.43,209.41,2.6,jute
16.54,19.75,37.41,28.88,98.95,5.73,202.9,56.46,coconut
84.97,43.89,47.18,26.05,80.83,6.43,247.38,5.11,rice
53.03,62.81,38.93,32.63,93.33,6.57,152.87,23.22,papaya
104.87,88.14,51.15,27.66,80.42,6.11,111.26,30.33,banana
104.71,92.18,52.22,25.31,80.22,5.49,126.16,30.41,banana
82.05,22.54,60.88,25.27,99.55,6.41,26.29,19.84,muskmelon
80.14,44.81,43.58,22.71,79.13,6.34,199.02,4.07,rice
76.17,16.15,53.75,27.3,91.16,6.63,44.36,13.37,watermelon
17.28,125.74,219.57,22.04,94.83,6.35,65.83,12.56,apple
19.97,55.95,17.37,26.95,49.18,7.06,44.91,1.03,mothbeans
